sids,enrolled_courses
acb1a1ebb22565dae53ff642d14d41d0,""""""
77f6162a7026e58cb283e0614df2bab5,""""""
d4f5d3c5dd3b5b1a022c31d49f2efd20,""""""
6d796849c84b57d718b6f52b56a2015d,""""""
780f1f4ea8d6866fec8e3ee2c07fad5b,""""""
56b5d8ec2253235cbce0f74aa9c3a3a5,""""""
4a448c3ed1c8f0fac97d9cb4e118cfad,""""""
14dd4b32a25ccc754916d55a85de0a36,""""""
c397228bf9b8da3eb8e06f2b9e1619e9,""""""
ef5fbe50b830eef33c952fc6afe37e6c,""""""
cce98457144e449fbc08899532a345ad,"[""fd26d46f7361002216d3a40fb3504060"",""5544c179fd0d221600cc0a041c16b03d"",""8bc5f8c1f75ea5d0f7665b5775c6876a"",""ef9d7813d12149b672b574cb59a562ed"",""0db2e72c48b89cdaa961666fcc20d5d8"",""5b24830cb5931da3c539ccc6613d3822"",""c64ca44849ae86093254a01b5748466f"",""291f1a82bd52d4ce5147d6b2d5d19590""]"
ddf7a234c93865533f1b2dd89b9da5fa,""""""
41d66c5f6a2c086471d815da832e39dd,""""""
6cd18004dd9afe3fa492eeb1922e40f6,""""""
b4acfaae29d334dcdcfa9cf38964d61f,""""""
4b1ad3b524209df46f361ef7ee2a0a7c,"[""c64ca44849ae86093254a01b5748466f"",""291f1a82bd52d4ce5147d6b2d5d19590""]"
aa94dc03002cac8bc45aaacf93a58d02,""""""
7c3ea17ff5419adbb5b1b432b2eead63,""""""
7b71766001181cdeedc934a7c6e9aa81,""""""
bd140a407830733d1ffcb38fac3b2198,""""""
da6efc32bedd407841b3a8396644b7e0,""""""
5555536a62da8237473d492d0ad24896,""""""
6d65d9adf074648edc6b030ee9d74f45,""""""
0aee6a726cbd16f6d0104dc1fbdd0300,""""""
83615186f4f921665a51380903c71955,""""""
82ca553b6054b9515fae3924fc81de19,""""""
50e9d15b53647832897497457fbaf045,""""""
b80d640c74835fc561ffbb9525ea6b6c,""""""
17380e0da8cfdb227cfcc1323dd82cf4,""""""
83213974a7df5132b2fbebe736ef6b3b,""""""
d4799c75ccf70cbda2d17921d7bdd33f,""""""
4cb984460ca3da52087c6999ae67da6f,""""""
aee7b4c0bf6479072ee17e16bf0be2c2,""""""
9f203e02179ca4683f9f45fb64dd2e7a,""""""
a843c2415e9e86cc26df4ecb2615227f,""""""
03eee4f930fbc7b1062d1621d253d1fa,""""""
ef6d76bc20340e22b4f02db6dfbb6e0a,""""""
69a142579461a057eee247e2dd71c1b7,""""""
93d1c9811f8e899ac7918c3e9a0ab4a8,""""""
8f0538cac55b2aebaa743583f092a8fb,""""""
bc9c4be093e89a2b15ebde0902115ce1,""""""
cf18d96e40376c08b26e26b423ab2feb,""""""
cc3ed8f3a16dc29fc5edd309e27a1d6b,""""""
f15cc9a0d3ac29eace2dd1f9e59ee6ed,""""""
7d022d20531db46400c5f699faddc1fc,""""""
62f425089a2e6f5692b11f61d889854a,""""""
7d0f26dea700f77ac4a51e4de639932d,""""""
df49bca4b935863451b595822c40a072,""""""
ac6ad7b333afaf7a4133715a07c9832f,""""""
ac55b3664de0e1a8b5df8e0a5fddcf59,""""""
8c73bcef20df15dfc2688ec385fe2e06,""""""
1734237e15ce83fb7c52d34ac9c71af4,""""""
61c707d4bf3c8e9e07d3b223c1bbdff1,""""""
692f458c1060aa56862c80cab54ef6f8,""""""
03229a9863a023b50418440f63452693,""""""
20b4e2a70a1f0caa0f29b2a563e4b03b,""""""
b3cd62e52b54fc7a8e8bf1a1ce26325a,""""""
9b78a0b2b76085a8d5d4fadff88ffd1b,""""""
374492ef14262dfe5d6427c356e5bbaf,""""""
9302b0c377f540419341ba1f409336b5,""""""
0f71d2e0e816cd743b1c4d0ee5f7a674,""""""
894ecf5c98f2d4d760cf954b61cf1a99,""""""
15f981bbd83a1aca619df0edfacf4b45,""""""
7bdddc28228937379c95f43a66c6a410,""""""
eeb027d6fe64cc07e100d8b1469c1e05,""""""
919aea0f9fcd86367a4335388c3ed0be,""""""
d21d0f1c436c2b76d9404271470fe91e,""""""
59e5c81c12ae2f921f983a6cd9a0b489,""""""
fad62c3f15d36c41e91b0d95b394b49e,""""""
e533195c7c2132815e3f8cf2c0cf32fc,""""""
97cb22af3ef94d3733a059ef4c38ea2b,""""""
cc2c4ac2b736ad6e99db19d9934a4213,""""""
a67d8f910916c8aa715c149c8b6e49b3,""""""
149a04678f0f633badefac832d3e6fbc,""""""
38271c58a3fb22d087c7a7ada717bbbf,""""""
